,id,name,artwork_count,gender,artistId,thumbnailUrl
0,0,"Abbey, Edwin Austin",6,Male,0,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/e8d15594f01f71cfba8639758fa2a973
1,1,"Abbott, Lemuel Francis",2,Male,1,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6964426e76053878f0251e4b695a279a
2,2,"Agasse, Jacques Laurent",2,Male,2,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6bebf02ae3038b8a1976e594507fa9e0
3,3,"Alken, Henry Thomas",5,Male,3,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/4a6310ccebf59194188abace0034cfd4
4,4,"Allan, Sir William",1,Male,4,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a6e87a7aca68cabf08b75ac3120a62ec
5,5,"Allen, Joseph William",1,Male,5,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/be2637a67cddba2c9f21e419001910d1
6,6,"Alma-Tadema, Sir Lawrence",5,Male,6,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9397dd6175637d32fdbdf9aa0b6653b4
7,7,"Amiconi, Giacomo",2,Male,7,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9698c47949c87b0e08f8d6ffdf1045e0
8,8,"Anderton, Henry",1,Male,8,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/90cc67d721f5af7175b893fc92f23e08
9,9,"Angellis, Peter",1,Male,9,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/d967141b411d0301648fd74f84f79306
10,10,"Ansdell, Richard",1,Male,10,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ddc7903d94247758571c7c22f6c3e5cd
11,11,"Armitage, Edward",1,Male,11,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ee22d54de9ae04fe76912bbd8e81bff0
12,12,"Armstead, Henry Hugh",2,Male,12,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/8a07eff2e8399bd5029aa5f48ca63e93
13,13,"Arnald, George",1,Male,13,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7e94679a28ee0c32e566546d1630a39f
14,14,"Atkins, Samuel",1,Male,14,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/84c29d527ba926bb21b4f10f97c132ce
15,15,"Aumonier, James",2,Male,15,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/1a7ab12be43087d7848d0bf2a688abc2
16,16,"Baily, Edward Hodges",2,Male,16,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/db38190de160b80e5691bfaa9dce293d
17,18,"Barenger, James",1,Male,18,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c5c428d4da83539a21de66e58b51c58c
18,19,"Barker, Thomas, of Bath",6,Male,19,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/64c186b06014627de94ae4f0e609de24
19,20,"Barlow, Francis",109,Male,20,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f8de49f3490ebc253e8cdd60a8096c53
20,21,"Barret, George, Senior",2,Male,21,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9de8e20c620c63a67d31153462837386
21,22,"Barret, George, Junior",4,Male,22,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/45544b94ac06bc32559fa5d2356b2538
22,23,"Barron, Hugh",1,Male,23,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f9c1755abf621934bf527d6ee3e98008
23,24,"Barry, James",38,Male,24,
24,25,"Bateman, James",1,Male,25,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/cf964755bfcf3405de49f2576bf73a65
25,26,"Bates, Harry",3,Male,26,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/44f147e8c8d5aab075b103775906f6bb
26,27,"Beach, Thomas",1,Male,27,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/b8941773deda4addeb81bb1c2cba0a55
27,28,"Beare, George",1,Male,28,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/88d6c04e74fb2f59c8693785f770167f
28,29,"Beaumont, Sir George Howland, Bt",62,Male,29,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/58a06bb19e8b38091b167c9a0e3e98db
29,30,"Beechey, Sir William",5,Male,30,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2e09b4c8824e854d563a091b94153293
30,31,"Behnes, William",1,Male,31,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/26fe573d7c0d73e7ce77f3efd77578e0
31,32,"Bell, John Zephaniah",1,Male,32,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6a1377adef8ff72369ad867814de5b07
32,33,"Bennett, William",1,Male,33,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/b384cb787d1c4ad7a2d1a69755dfdb3e
33,34,"Bettes, John",1,Male,34,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ead2289fe241818494004d67f8a39a37
34,36,"Bird, Edward",1,Male,36,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a2951b3df5f92bdb7765c5c0acf07ac2
35,37,"Blake, Benjamin",1,Male,37,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/49b0eae98d6844fb294b3f094fa1084a
36,38,"Blake, Robert",4,Male,38,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c9edd60fdd8caabb0dff2411e987cb8c
37,39,"Blake, William",180,Male,39,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/53fedbacaa169b89843489a9d8dc5ea4
38,40,"Boehm, Sir Joseph Edgar",2,Male,40,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/dbf52171ebb32527d7d3d057171f9f64
39,41,"Bonington, Richard Parkes",14,Male,41,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/030628dd5970b32652c09a94375c81d8
40,42,"Borseller, Peter",1,Male,42,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/4f32a9734d41c778fe6e51b9334c4f0b
41,43,"Bough, Samuel",1,Male,43,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/1120bd054fb29e7c860d9029d293c15e
42,44,"Boughton, George Henry",1,Male,44,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c145c280b6f8982e38e7ee879c3193a0
43,45,"Bower, Edward",1,Male,45,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/1094e317d787a4708c6fde57c7e38441
44,46,"Bowler, Henry Alexander",1,Male,46,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/716a7caabfb8c6cf0204bfd1bf0b4398
45,47,"Boxall, Sir William",1,Male,47,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/cef25ed2159271a35f2f7bd81a9d8760
46,48,"Boyce, George Price",7,Male,48,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/807434d932323a7b2afd76e2b37e9446
47,49,"Boys, Thomas Shotter",1,Male,49,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9086bad4d1cc89482bf3a094677456bc
48,50,"Brabazon, Hercules Brabazon",28,Male,50,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0e83ed7b824c536f3a7d11a3ba2a267c
