,acquisitionYear,ac_count,film,other,painting,paper,photo,sculpture,wood,year
0,1823.0,1,,,1.0,,,,,1823
1,1824.0,2,,,2.0,,,,,1824
2,1826.0,4,,,4.0,,,,,1826
3,1827.0,1,,,1.0,,,,,1827
4,1828.0,3,,,3.0,,,,,1828
5,1830.0,2,,,2.0,,,,,1830
6,1834.0,1,,,1.0,,,,,1834
7,1835.0,1,,,1.0,,,,,1835
8,1836.0,3,,,3.0,,,,,1836
9,1837.0,4,,,3.0,,,,1.0,1837
10,1840.0,2,,,2.0,,,,,1840
11,1841.0,2,,,2.0,,,,,1841
12,1842.0,1,,,1.0,,,,,1842
13,1843.0,1,,,1.0,,,,,1843
14,1844.0,1,,1.0,,,,,,1844
15,1847.0,148,,3.0,142.0,1.0,,,2.0,1847
16,1849.0,1,,,1.0,,,,,1849
17,1850.0,1,,1.0,,,,,,1850
18,1853.0,3,,,3.0,,,,,1853
19,1854.0,17,,,15.0,,,,2.0,1854
20,1855.0,1,,,1.0,,,,,1855
21,1856.0,37893,,16.0,270.0,31235.0,,,7.0,1856
22,1857.0,2,,,2.0,,,,,1857
23,1858.0,4,,,1.0,3.0,,,,1858
24,1859.0,17,,,17.0,,,,,1859
25,1860.0,2,,1.0,1.0,,,,,1860
26,1861.0,4,,,3.0,1.0,,,,1861
27,1862.0,2,,,2.0,,,,,1862
28,1863.0,1,,,1.0,,,,,1863
29,1864.0,2,,,2.0,,,,,1864
30,1866.0,2,,,2.0,,,,,1866
31,1867.0,15,,,3.0,,,,12.0,1867
32,1868.0,10,,2.0,8.0,,,,,1868
33,1869.0,5,,,5.0,,,,,1869
34,1870.0,1,,,1.0,,,,,1870
35,1871.0,9,,,8.0,,,,1.0,1871
36,1872.0,3,,,3.0,,,,,1872
37,1873.0,1,,,,,,,1.0,1873
38,1874.0,3,,,1.0,,,,2.0,1874
39,1875.0,3,,,3.0,,,,,1875
40,1876.0,3,,,3.0,,,,,1876
