,accession_number,year,r,g,b
0,A00001,,56,50,43
1,A00034,1794,174,139,115
2,A00041,1800,231,236,241
3,A00061,1877,125,125,114
4,A00062,1877,126,126,114
5,A00129,,127,118,84
6,A00130,,119,109,79
7,A00168,,226,218,201
8,A00169,,237,226,206
9,A00170,,177,167,146
10,A00171,,68,59,46
11,A00172,,161,157,142
12,A00173,,211,208,192
13,A00174,,52,51,48
14,A00175,,204,201,186
15,A00176,,150,132,107
16,A00177,,192,177,152
17,A00178,,126,90,60
18,A00179,,150,112,78
19,A00180,,149,108,72
20,A00181,,138,105,76
21,A00182,,222,200,172
22,A00183,,213,190,160
23,A00184,,188,163,131
24,A00185,,153,139,119
25,A00186,,233,221,197
26,A00187,,241,227,203
27,A00188,,237,222,196
28,A00189,,219,207,186
29,A00194,,211,193,164
30,A00195,,184,161,125
31,A00202,,205,177,143
32,A00205,,183,150,115
33,A00221,,232,228,216
34,A00223,,227,211,183
35,A00225,,231,222,204
36,A00226,,234,225,210
37,A00228,,234,226,214
38,A00229,,226,214,195
39,A00244,,232,223,209
40,A00248,,232,223,207
41,A00250,,231,220,197
42,A00254,,233,222,199
43,A00268,,235,231,220
44,A00269,,236,233,224
45,A00270,,241,239,229
46,A00290,,236,232,223
47,A00292,,235,230,215
48,A00313,,237,228,208
49,A00335,,233,222,203
50,A00344,,229,218,201
51,A00351,,224,213,194
52,A00354,,223,209,187
53,A00356,,232,220,200
54,A00360,,235,224,203
55,A00368,,232,219,198
56,A00372,,226,214,188
57,A00373,,237,228,206
58,A00374,,236,227,206
59,A00382,,235,227,208
60,A00388,,240,238,227
61,A00402,,227,218,195
62,A00409,,237,232,220
63,A00449,,223,216,198
64,A00450,,223,218,202
65,A00454,,227,219,203
66,A00456,,225,218,200
67,A00458,,222,220,212
68,A00460,,225,224,215
69,A00462,,216,214,204
70,A00465,,235,228,211
71,A00468,,224,216,202
72,A00469,,231,222,207
73,A00470,,233,221,198
74,A00472,,229,220,204
75,A00473,,231,214,188
76,A00474,,227,211,187
77,A00475,,223,211,193
78,A00476,,220,215,198
79,A00478,,221,213,200
80,A00479,,222,215,197
81,A00481,,226,225,217
82,A00482,,226,224,215
83,A00483,,228,220,201
84,A00485,,223,220,206
85,A00487,,222,220,211
86,A00488,,229,224,208
87,A00489,,227,222,206
88,A00490,,226,225,216
89,A00492,,218,212,195
90,A00494,,213,213,202
91,A00495,,222,221,212
92,A00496,,219,213,196
93,A00497,,208,203,192
94,A00498,,224,218,203
95,A00499,,224,221,208
96,A00502,,221,222,214
97,A00503,,225,216,196
98,A00504,,225,222,209
99,A00506,,230,226,211
100,A00508,,230,228,219
101,A00510,,226,226,218
102,A00511,,223,220,206
103,A00512,,228,218,204
104,A00513,,224,222,213
105,A00515,,228,228,220
106,A00516,,222,220,211
107,A00518,,220,216,205
108,A00519,,222,219,208
109,A00521,,207,191,165
110,A00529,,182,179,172
111,A00531,,232,230,219
112,A00544,,226,195,149
113,A00546,,226,194,149
114,A00556,,160,152,141
115,A00557,,231,228,214
116,A00559,,227,223,209
117,A00561,,65,41,25
118,A00562,,54,41,34
119,A00563,,66,55,46
120,A00564,,47,46,42
121,A00565,,221,212,193
122,A00566,,200,176,147
123,A00567,,223,218,203
124,A00568,,231,228,215
125,A00569,,234,231,218
126,A00570,,229,225,207
127,A00571,,227,228,215
128,A00572,,62,42,42
129,A00573,,190,165,130
130,A00574,,203,197,177
131,A00575,,152,153,144
132,A00576,,229,218,196
133,A00577,,230,218,195
134,A00578,,207,188,158
135,A00579,,194,172,143
136,A00580,,190,184,175
137,A00581,,213,197,169
138,A00582,,164,154,142
139,A00584,,123,112,100
140,A00586,,196,209,209
141,A00587,,219,221,204
142,A00588,,137,145,136
143,A00590,,219,208,175
144,A00591,,213,199,174
145,A00592,,156,147,137
146,A00593,,236,227,209
147,A00594,,104,74,52
148,A00595,,178,144,104
149,A00596,,109,84,62
150,A00599,,181,158,128
151,A00600,,181,147,113
152,A00601,,64,44,30
153,A00605,,221,212,195
154,A00607,,202,163,115
155,A00619,,225,218,202
156,A00623,,224,217,203
157,A00625,,230,226,214
158,A00626,,227,221,212
159,A00637,,230,224,208
160,A00639,,229,224,211
161,A00640,,233,230,216
162,A00646,,227,223,208
163,A00647,,233,223,203
164,A00650,,217,210,189
165,A00654,,231,204,162
166,A00655,,202,209,194
167,A00658,,211,218,202
168,A00659,,210,215,199
169,A00661,,211,217,201
170,A00665,,214,201,183
171,A00666,,216,220,204
172,A00668,,218,207,187
173,A00670,,207,191,171
174,A00671,,211,215,199
175,A00673,,207,186,156
176,A00675,,228,221,203
177,A00680,,201,188,166
178,A00681,,147,143,136
179,A00682,,204,205,189
180,A00683,,185,165,144
181,A00684,,197,194,175
182,A00685,,234,228,214
183,A00686,,231,207,163
184,A00687,,209,201,190
185,A00689,,164,155,144
186,A00690,,121,137,140
187,A00692,,132,125,114
188,A00693,,215,201,180
189,A00694,,216,201,176
190,A00695,,182,174,165
191,A00696,,111,85,63
192,A00697,,135,93,62
193,A00698,,90,80,68
194,A00699,,74,69,62
195,A00817,,218,208,186
196,A00819,,148,131,110
197,A00820,,187,172,156
198,A00838,1825,230,226,208
199,A00842,1858,115,92,59
200,A00843,1858,67,54,42
201,A00844,1858,49,36,30
202,A00846,1849,195,193,177
203,A00867,1806,196,187,161
204,A00871,1806,194,170,127
205,A00879,1858,213,202,184
206,A00880,1858,89,79,66
207,A00881,1858,224,211,187
208,A00882,1858,84,77,67
209,A00883,1858,95,81,71
210,A00884,1858,95,91,83
211,A00885,1858,90,85,79
212,A00886,1858,83,70,61
213,A00887,1858,226,217,198
214,A00888,1858,85,75,67
215,A00889,1858,226,217,200
216,A00890,1858,217,204,183
217,A00891,1858,223,212,193
218,A00892,1858,96,80,69
219,A00893,1858,214,201,178
220,A00894,1858,228,218,198
221,A00895,1858,230,222,203
222,A00896,1858,226,215,194
223,A00897,1858,218,208,188
224,A00898,1858,221,212,192
225,A00899,1858,218,209,190
226,A00900,1858,209,199,180
