,year,accession_number,hex,value_x,hex0,hex1,hex2,value_y
0,1596,T10165,#957f4e,15,#7b6436,#b29f72,#a0894b,15
1,1630,T05745,#89785f,15,#76654e,#9f8e74,#938166,15
2,1660,T05518,#e0d9cc,15,#e7e1d3,#aba395,#6d6558,15
3,1680,T08580,#e2d2bb,15,#e8dac4,#baa085,#86694e,15
4,1710,T01551,#d9cfb9,15,#e0d6c1,#b4a68f,#cec2aa,15
5,1713,T08118,#c0a07e,15,#c3a280,#856a49,#eadcc8,15
6,1715,T08143,#d0bda3,15,#dfd1bb,#baa181,#7f6042,15
7,1719,T09284,#9e8c72,15,#b3a287,#77654d,#dfdbc7,15
8,1728,T08608,#c7b8a2,15,#b2a18b,#e4d8c4,#746656,15
9,1728,T08274,#eddfcc,30,#eee0ce,#b9a895,#cfbfab,30
10,1740,D04152,#767a6d,15,#676b5f,#8b8f81,#e3e1d3,15
11,1740,T08256,#7d5736,30,#7e5333,#e3d4b8,#3b2815,30
12,1741,T08921,#e0cfb4,15,#e4d3b9,#c4ad8e,#d5c1a3,15
13,1745,T08820,#ccbca3,15,#e6d8c0,#b0a089,#7c6c5a,30
14,1745,T04319,#d7cfb9,30,#ddd5c0,#b6ad97,#cdc3ac,15
15,1746,T08815,#8a4c2f,15,#8d4d2f,#e4d4b4,#633423,15
16,1746,T08117,#b7ab9a,30,#afa291,#e5dbcb,#706659,30
17,1748,T08125,#9f8c6f,15,#b9a88b,#786346,#f0e9da,15
18,1750,T04268,#8d7b60,15,#75664f,#a89375,#ede7d4,15
19,1750,T04267,#a88c67,30,#b69973,#806442,#ece3ce,75
20,1750,T04249,#a99577,45,#b5a080,#77644d,#3a2d1d,45
21,1750,T04247,#ab9a7b,60,#b5a484,#75664c,#f0ebdb,60
22,1750,T04248,#c3b29d,75,#b4a18a,#73614e,#e9dfcf,30
23,1750,T04246,#d5c5b1,90,#e3d3bf,#b6a592,#776756,105
24,1750,T08275,#d6c7ad,105,#ddceb6,#b1a183,#766447,90
25,1750,T08512,#e4dac7,120,#ece3d2,#6d5c49,#af9d82,120
26,1753,T08270,#7b7565,15,#6b6151,#a89a7e,#8e9c95,15
27,1754,T01896,#bdc0c0,15,#4d6673,#8ca2ab,#e1dbd4,15
28,1755,T08473,#715c46,15,#735c46,#b5a084,#e9dac0,15
29,1757,T08254,#514533,15,#6c5d46,#a99c83,#3a3022,15
30,1757,T08186,#b9a889,30,#b7a786,#6e5f4a,#352d24,30
31,1758,T01017,#76654d,15,#695944,#bca481,#413526,15
