,accession_number,year,rgb0,prop0,rgb1,prop1,rgb2,prop2,hex0,hex1,hex2
0,A00001,,"(116, 101, 83)",0.3713554787431405,"(21, 22, 24)",0.3591501161950514,"(172, 159, 139)",0.2694944050618079,#746553,#151618,#ac9f8b
1,A00034,1794,"(190, 153, 127)",0.4871809162858098,"(236, 230, 213)",0.286227845279233,"(132, 102, 82)",0.226591238434957,#be997f,#ece6d5,#846652
2,A00041,1800,"(232, 237, 242)",0.9202292865625286,"(166, 157, 163)",0.0467936420937243,"(218, 212, 218)",0.0329770713437471,#e8edf2,#a69da3,#dad4da
3,A00061,1877,"(112, 113, 103)",0.5070206036241095,"(132, 130, 116)",0.318779745189039,"(143, 144, 134)",0.1741996511868515,#707167,#848274,#8f9086
4,A00062,1877,"(113, 114, 103)",0.4688996073228021,"(131, 131, 118)",0.3768983880511377,"(147, 147, 138)",0.1542020046260601,#717267,#838376,#93938a
5,A00129,,"(125, 115, 82)",0.8620154679757329,"(52, 46, 29)",0.1132311397212059,"(75, 67, 45)",0.0247533923030611,#7d7352,#342e1d,#4b432d
6,A00130,,"(118, 108, 78)",0.9602484220747692,"(39, 34, 22)",0.0369800938663214,"(74, 67, 47)",0.0027714840589092,#766c4e,#272216,#4a432f
7,A00168,,"(230, 223, 207)",0.5655983142952201,"(113, 100, 84)",0.2729566374625707,"(167, 152, 132)",0.1614450482422091,#e6dfcf,#716454,#a79884
8,A00169,,"(239, 229, 209)",0.7960634861617828,"(179, 163, 141)",0.1096600283503358,"(103, 91, 77)",0.0942764854878814,#efe5d1,#b3a38d,#675b4d
9,A00170,,"(181, 172, 150)",0.6660054409430968,"(108, 101, 85)",0.2922523237361142,"(55, 51, 41)",0.0417422353207889,#b5ac96,#6c6555,#373329
10,A00171,,"(225, 217, 198)",0.5455330019331677,"(106, 95, 79)",0.2902167909417288,"(175, 163, 140)",0.1642502071251035,#e1d9c6,#6a5f4f,#afa38c
11,A00172,,"(168, 165, 150)",0.6711563345488766,"(35, 30, 24)",0.1680390542289142,"(115, 104, 87)",0.1608046112222091,#a8a596,#231e18,#736857
12,A00173,,"(212, 209, 193)",0.8980385525870815,"(30, 36, 43)",0.0570891105850524,"(41, 38, 32)",0.044872336827866,#d4d1c1,#1e242b,#292620
13,A00174,,"(215, 210, 195)",0.7727683594975004,"(43, 39, 34)",0.1374310538840414,"(92, 88, 79)",0.0898005866184581,#d7d2c3,#2b2722,#5c584f
14,A00175,,"(208, 206, 191)",0.6863687893358352,"(200, 195, 178)",0.1738790508580587,"(38, 46, 56)",0.139752159806106,#d0cebf,#c8c3b2,#262e38
15,A00176,,"(173, 155, 129)",0.5163592233009708,"(119, 101, 78)",0.3895388349514563,"(58, 45, 31)",0.0941019417475728,#ad9b81,#77654e,#3a2d1f
16,A00177,,"(184, 169, 144)",0.6201936249885834,"(109, 94, 75)",0.2529454744725545,"(222, 208, 183)",0.126860900538862,#b8a990,#6d5e4b,#ded0b7
17,A00178,,"(124, 87, 56)",0.5014453409747882,"(186, 153, 117)",0.2546816479400749,"(71, 40, 20)",0.2438730110851368,#7c5738,#ba9975,#472814
18,A00179,,"(136, 96, 62)",0.4834984358706986,"(186, 150, 113)",0.3693169968717414,"(74, 42, 22)",0.1471845672575599,#88603e,#ba9671,#4a2a16
19,A00180,,"(134, 92, 59)",0.5382311977715878,"(191, 154, 115)",0.350719591457753,"(75, 42, 22)",0.1110492107706592,#865c3b,#bf9a73,#4b2a16
20,A00181,,"(126, 92, 63)",0.492942981334697,"(178, 147, 115)",0.3185374584505241,"(70, 42, 25)",0.1885195602147788,#7e5c3f,#b29373,#462a19
21,A00182,,"(235, 218, 193)",0.4562037886556209,"(196, 165, 132)",0.3292136650655728,"(127, 91, 62)",0.2145825462788061,#ebdac1,#c4a584,#7f5b3e
22,A00183,,"(230, 212, 185)",0.3819559852948582,"(125, 91, 62)",0.3181749508989273,"(190, 160, 126)",0.2998690638062144,#e6d4b9,#7d5b3e,#bea07e
23,A00184,,"(189, 165, 132)",0.7968518435352764,"(130, 95, 65)",0.1717564108321731,"(74, 45, 25)",0.0313917456325504,#bda584,#825f41,#4a2d19
24,A00185,,"(155, 142, 122)",0.8094962764235164,"(121, 103, 82)",0.1503538554049678,"(144, 129, 106)",0.0401498681715157,#9b8e7a,#796752,#90816a
