,Unnamed: 0,accession_number,year,rgb0,prop0,rgb1,prop1,rgb2,prop2,hex0,hex1,hex2,value
6671,6671,T10165,1596,"(123, 100, 54)",0.4266627158365433,"(178, 159, 114)",0.346820030708725,"(160, 137, 75)",0.2265172534547315,#7b6436,#b29f72,#a0894b,15
5494,5494,T05745,1630,"(118, 101, 78)",0.5573078516677025,"(159, 142, 116)",0.3502175264139217,"(147, 129, 102)",0.0924746219183758,#76654e,#9f8e74,#938166,15
5487,5487,T05518,1660,"(231, 225, 211)",0.7092081551121436,"(171, 163, 149)",0.2034218468419567,"(109, 101, 88)",0.0873699980458996,#e7e1d3,#aba395,#6d6558,15
5909,5909,T08580,1680,"(232, 218, 196)",0.6377236664415935,"(186, 160, 133)",0.2708685010128291,"(134, 105, 78)",0.0914078325455773,#e8dac4,#baa085,#86694e,15
5267,5267,T01551,1710,"(224, 214, 193)",0.6899171968090477,"(180, 166, 143)",0.2537867312935474,"(206, 194, 170)",0.0562960718974048,#e0d6c1,#b4a68f,#cec2aa,15
5640,5640,T08118,1713,"(195, 162, 128)",0.6821601661666282,"(133, 106, 73)",0.1652896376644357,"(234, 220, 200)",0.152550196168936,#c3a280,#856a49,#eadcc8,15
5661,5661,T08143,1715,"(223, 209, 187)",0.3705807814149947,"(186, 161, 129)",0.3538542766631468,"(127, 96, 66)",0.2755649419218585,#dfd1bb,#baa181,#7f6042,15
6265,6265,T09284,1719,"(179, 162, 135)",0.5171217744786144,"(119, 101, 77)",0.3654559915164369,"(223, 219, 199)",0.1174222340049487,#b3a287,#77654d,#dfdbc7,15
5931,5931,T08608,1728,"(178, 161, 139)",0.4288150581101566,"(228, 216, 196)",0.2890980293077311,"(116, 102, 86)",0.2820869125821121,#b2a18b,#e4d8c4,#746656,15
5751,5751,T08274,1728,"(238, 224, 206)",0.8512648309827625,"(185, 168, 149)",0.13113946720394,"(207, 191, 171)",0.0175957018132975,#eee0ce,#b9a895,#cfbfab,30
1017,1017,D04152,1740,"(103, 107, 95)",0.5305331961508201,"(139, 143, 129)",0.3469103673667009,"(227, 225, 211)",0.1225564364824789,#676b5f,#8b8f81,#e3e1d3,15
5736,5736,T08256,1740,"(126, 83, 51)",0.4227609990594628,"(227, 212, 184)",0.3538718779391786,"(59, 40, 21)",0.2233671230013585,#7e5333,#e3d4b8,#3b2815,30
6100,6100,T08921,1741,"(228, 211, 185)",0.7225299935424668,"(196, 173, 142)",0.1920776263467355,"(213, 193, 163)",0.0853923801107976,#e4d3b9,#c4ad8e,#d5c1a3,15
5455,5455,T04319,1745,"(221, 213, 192)",0.7272855473629074,"(182, 173, 151)",0.1729924654498569,"(205, 195, 172)",0.0997219871872355,#ddd5c0,#b6ad97,#cdc3ac,15
6031,6031,T08820,1745,"(230, 216, 192)",0.5419467748208234,"(176, 160, 137)",0.3710483915773098,"(124, 108, 90)",0.0870048336018667,#e6d8c0,#b0a089,#7c6c5a,30
6027,6027,T08815,1746,"(141, 77, 47)",0.8503279155973766,"(228, 212, 180)",0.1100085543199315,"(99, 52, 35)",0.0396635300826917,#8d4d2f,#e4d4b4,#633423,15
5639,5639,T08117,1746,"(175, 162, 145)",0.5332048145127407,"(229, 219, 203)",0.3318998541805689,"(112, 102, 89)",0.1348953313066904,#afa291,#e5dbcb,#706659,30
5647,5647,T08125,1748,"(185, 168, 139)",0.4114520215930373,"(120, 99, 70)",0.386911975322243,"(240, 233, 218)",0.2016360030847196,#b9a88b,#786346,#f0e9da,15
5431,5431,T04268,1750,"(117, 102, 79)",0.482238729131426,"(168, 147, 117)",0.3970728837243509,"(237, 231, 212)",0.1206883871442229,#75664f,#a89375,#ede7d4,15
5415,5415,T04248,1750,"(180, 161, 138)",0.498280719657475,"(115, 97, 78)",0.2590012645029616,"(233, 223, 207)",0.2427180158395634,#b4a18a,#73614e,#e9dfcf,30
5416,5416,T04249,1750,"(181, 160, 128)",0.7215319611780455,"(119, 100, 77)",0.1945908634538152,"(58, 45, 29)",0.0838771753681392,#b5a080,#77644d,#3a2d1d,45
5414,5414,T04247,1750,"(181, 164, 132)",0.6877928136247562,"(117, 102, 76)",0.200390083043452,"(240, 235, 219)",0.1118171033317917,#b5a484,#75664c,#f0ebdb,60
5430,5430,T04267,1750,"(182, 153, 115)",0.6446602399415466,"(128, 100, 66)",0.2609187545666674,"(236, 227, 206)",0.0944210054917858,#b69973,#806442,#ece3ce,75
5752,5752,T08275,1750,"(221, 206, 182)",0.6114770459081836,"(177, 161, 131)",0.2210329341317365,"(118, 100, 71)",0.1674900199600798,#ddceb6,#b1a183,#766447,90
5413,5413,T04246,1750,"(227, 211, 191)",0.5663870895270903,"(182, 165, 146)",0.3484854158085895,"(119, 103, 86)",0.0851274946643202,#e3d3bf,#b6a592,#776756,105
5852,5852,T08512,1750,"(236, 227, 210)",0.4893333333333333,"(109, 92, 73)",0.3377037037037037,"(175, 157, 130)",0.1729629629629629,#ece3d2,#6d5c49,#af9d82,120
5747,5747,T08270,1753,"(107, 97, 81)",0.5466339190125322,"(168, 154, 126)",0.2584230745009132,"(142, 156, 149)",0.1949430064865545,#6b6151,#a89a7e,#8e9c95,15
5311,5311,T01896,1754,"(77, 102, 115)",0.4259410430839002,"(140, 162, 171)",0.3248072562358277,"(225, 219, 212)",0.2492517006802721,#4d6673,#8ca2ab,#e1dbd4,15
5814,5814,T08473,1755,"(115, 92, 70)",0.3630972362090187,"(181, 160, 132)",0.3247454403043527,"(233, 218, 192)",0.3121573234866286,#735c46,#b5a084,#e9dac0,15
5734,5734,T08254,1757,"(108, 93, 70)",0.4066338259441707,"(169, 156, 131)",0.3072249589490969,"(58, 48, 34)",0.2861412151067323,#6c5d46,#a99c83,#3a3022,15
5685,5685,T08186,1757,"(183, 167, 134)",0.6011925277452265,"(110, 95, 74)",0.2132074171089818,"(53, 45, 36)",0.1856000551457917,#b7a786,#6e5f4a,#352d24,30
5248,5248,T01017,1758,"(105, 89, 68)",0.4719804836855809,"(188, 164, 129)",0.4325959982172597,"(65, 53, 38)",0.0954235180971593,#695944,#bca481,#413526,15
6295,6295,T09337,1758,"(179, 172, 147)",0.4722246145896133,"(216, 209, 189)",0.3849223437544857,"(124, 111, 70)",0.142853041655901,#b3ac93,#d8d1bd,#7c6f46,30
5656,5656,T08137,1759,"(176, 162, 144)",0.502752747129278,"(232, 223, 206)",0.4286645243927103,"(126, 112, 95)",0.0685827284780117,#b0a290,#e8dfce,#7e705f,15
5818,5818,T08477,1760,"(187, 166, 142)",0.4354133389195841,"(227, 211, 191)",0.2980177538034512,"(118, 97, 79)",0.2665689072769646,#bba68e,#e3d3bf,#76614f,15
7028,7028,T11645,1761,"(225, 216, 199)",0.4378988934294504,"(179, 166, 149)",0.328596354286239,"(107, 95, 81)",0.2335047522843105,#e1d8c7,#b3a695,#6b5f51,15
5412,5412,T04245,1761,"(235, 220, 200)",0.4914317099963383,"(177, 157, 135)",0.3204137678506041,"(118, 99, 80)",0.1881545221530575,#ebdcc8,#b19d87,#766350,30
5432,5432,T04273,1762,"(196, 162, 125)",0.7474740715958514,"(129, 99, 71)",0.1685067469610795,"(244, 233, 216)",0.084019181443069,#c4a27d,#816347,#f4e9d8,15
5215,5215,T00981,1763,"(179, 160, 112)",0.5086665443873808,"(45, 37, 19)",0.2508941672780631,"(115, 101, 65)",0.2404392883345561,#b3a070,#2d2513,#736541,15
5214,5214,T00980,1763,"(185, 165, 120)",0.5442916247344292,"(115, 101, 65)",0.2595773230459577,"(40, 33, 16)",0.1961310522196131,#b9a578,#736541,#282110,30
6301,6301,T09343,1764,"(101, 88, 69)",0.4525871502266687,"(142, 157, 148)",0.3553540722213537,"(171, 168, 149)",0.1920587775519774,#655845,#8e9d94,#aba895,15
5439,5439,T04294,1765,"(133, 102, 73)",0.4827445334993385,"(218, 209, 191)",0.393588047622753,"(170, 139, 107)",0.1236674188779083,#856649,#dad1bf,#aa8b6b,15
5433,5433,T04284,1765,"(134, 99, 64)",0.4827235227942358,"(190, 155, 111)",0.4310815878287887,"(162, 128, 84)",0.0861948893769754,#866340,#be9b6f,#a28054,30
6297,6297,T09339,1765,"(170, 169, 151)",0.5212584642314247,"(154, 167, 159)",0.3553364963839882,"(224, 218, 200)",0.123405039384587,#aaa997,#9aa79f,#e0dac8,45
6302,6302,T09344,1765,"(175, 163, 143)",0.4920385736712267,"(223, 215, 198)",0.341752635119982,"(162, 173, 164)",0.1662087912087912,#afa38f,#dfd7c6,#a2ada4,60
6296,6296,T09338,1765,"(178, 175, 161)",0.5148084080306128,"(217, 213, 197)",0.2638255490905278,"(180, 186, 180)",0.2213660428788593,#b2afa1,#d9d5c5,#b4bab4,75
5444,5444,T04300,1765,"(188, 167, 137)",0.5709929681179863,"(117, 96, 72)",0.3026198427679479,"(237, 230, 215)",0.1263871891140658,#bca789,#756048,#ede6d7,90
6083,6083,T08891,1766,"(180, 159, 129)",0.673859768550034,"(129, 110, 81)",0.2100068073519401,"(217, 201, 174)",0.1161334240980258,#b49f81,#816e51,#d9c9ae,15
5705,5705,T08209,1766,"(223, 212, 186)",0.5524392754219843,"(186, 172, 144)",0.2920955125566076,"(106, 93, 73)",0.1554652120214079,#dfd4ba,#baac90,#6a5d49,30
5641,5641,T08119,1767,"(229, 218, 201)",0.6446011937059143,"(181, 164, 143)",0.3112859468258274,"(130, 113, 93)",0.0441128594682582,#e5dac9,#b5a48f,#82715d,15
6300,6300,T09342,1768,"(170, 162, 138)",0.452788771743107,"(111, 100, 73)",0.2879568962650081,"(165, 179, 170)",0.2592543319918848,#aaa28a,#6f6449,#a5b3aa,15
5636,5636,T08114,1770,"(47, 35, 25)",0.5539316953100962,"(236, 225, 211)",0.2322974814293877,"(133, 101, 67)",0.213770823260516,#2f2319,#ece1d3,#856543,15
5726,5726,T08240,1770,"(141, 100, 58)",0.5413316325368442,"(59, 41, 26)",0.3030454887132411,"(229, 214, 187)",0.1556228787499145,#8d643a,#3b291a,#e5d6bb,30
5649,5649,T08127,1770,"(170, 153, 132)",0.7537471855902219,"(128, 113, 95)",0.1516028733783639,"(234, 224, 209)",0.0946499410314141,#aa9984,#80715f,#eae0d1,45
6672,6672,T10167,1770,"(176, 160, 144)",0.5697815705445195,"(233, 219, 203)",0.2356947073949532,"(118, 103, 89)",0.1945237220605273,#b0a090,#e9dbcb,#766759,60
5753,5753,T08276,1770,"(179, 163, 137)",0.5819947796405983,"(101, 94, 77)",0.2908593514707359,"(55, 49, 37)",0.1271458688886658,#b3a389,#655e4d,#373125,75
6346,6346,T09405,1770,"(184, 160, 128)",0.5443280499639205,"(115, 96, 73)",0.3015004105601035,"(213, 194, 162)",0.154171539475976,#b8a080,#736049,#d5c2a2,90
5804,5804,T08461,1770,"(184, 168, 139)",0.6871444389294032,"(217, 204, 178)",0.1820090870909854,"(208, 195, 167)",0.1308464739796113,#b8a88b,#d9ccb2,#d0c3a7,105
5601,5601,T08057,1770,"(185, 159, 126)",0.3933410867389716,"(120, 97, 75)",0.3343791415357152,"(62, 49, 38)",0.2722797717253131,#b99f7e,#78614b,#3e3126,120
5659,5659,T08140,1770,"(220, 208, 187)",0.496184301124627,"(180, 164, 142)",0.3395685104429653,"(112, 96, 80)",0.1642471884324076,#dcd0bb,#b4a48e,#706050,135
5365,5365,T03602,1770,"(231, 224, 201)",0.4573862217115452,"(110, 98, 77)",0.2788130089423989,"(176, 161, 131)",0.2638007693460558,#e7e0c9,#6e624d,#b0a183,150
5638,5638,T08116,1770,"(235, 225, 210)",0.5610445888926902,"(47, 36, 28)",0.2202075493214733,"(107, 93, 80)",0.2187478617858364,#ebe1d2,#2f241c,#6b5d50,165
5222,5222,T00989,1771,"(83, 79, 70)",0.8031093763704938,"(65, 61, 58)",0.1630558722919042,"(67, 64, 57)",0.0338347513376019,#534f46,#413d3a,#434039,15
5754,5754,T08278,1771,"(109, 96, 78)",0.4606323620582765,"(218, 208, 189)",0.2728869601157264,"(168, 157, 138)",0.2664806778259971,#6d604e,#dad0bd,#a89d8a,30
5646,5646,T08124,1771,"(223, 210, 185)",0.5758212821982969,"(182, 166, 138)",0.3071287507166975,"(210, 194, 166)",0.1170499670850056,#dfd2b9,#b6a68a,#d2c2a6,45
4768,4768,N03624,1771,"(233, 215, 183)",0.5475946006861837,"(186, 164, 133)",0.359419999499136,"(126, 104, 75)",0.0929853998146803,#e9d7b7,#baa485,#7e684b,60
6722,6722,T10433,1773,"(176, 166, 149)",0.5192130993049829,"(220, 211, 193)",0.3082813052185181,"(108, 99, 86)",0.172505595476499,#b0a695,#dcd3c1,#6c6356,15
6351,6351,T09410,1773,"(177, 161, 135)",0.5129043618252251,"(220, 206, 182)",0.3408965135583841,"(210, 195, 166)",0.1461991246163908,#b1a187,#dcceb6,#d2c3a6,30
6425,6425,T09525,1773,"(222, 215, 199)",0.6287783699253071,"(179, 172, 152)",0.2775365748266425,"(201, 194, 176)",0.0936850552480503,#ded7c7,#b3ac98,#c9c2b0,45
6673,6673,T10169,1773,"(228, 219, 205)",0.6435970952012222,"(167, 156, 142)",0.266768515999414,"(120, 109, 97)",0.0896343887993637,#e4dbcd,#a79c8e,#786d61,60
6439,6439,T09543,1773,"(229, 222, 206)",0.51393494827927,"(171, 161, 145)",0.3676893681505721,"(114, 106, 94)",0.1183756835701579,#e5dece,#aba191,#726a5e,75
6440,6440,T09544,1773,"(233, 225, 207)",0.7278400907781609,"(175, 165, 148)",0.2241958713394143,"(117, 108, 95)",0.0479640378824248,#e9e1cf,#afa594,#756c5f,90
6677,6677,T10175,1773,"(233, 225, 210)",0.3667086670866709,"(171, 158, 140)",0.3577085770857708,"(114, 103, 87)",0.2755827558275582,#e9e1d2,#ab9e8c,#726757,105
6784,6784,T10672,1773,"(247, 241, 228)",0.7620216807189846,"(176, 161, 143)",0.1350412304271287,"(105, 92, 79)",0.1029370888538867,#f7f1e4,#b0a18f,#695c4f,120
6344,6344,T09403,1774,"(178, 167, 145)",0.6133500428731614,"(232, 222, 203)",0.3338610030121144,"(205, 194, 171)",0.0527889541147241,#b2a791,#e8decb,#cdc2ab,15
6077,6077,T08880,1774,"(181, 159, 124)",0.496125197502069,"(126, 106, 78)",0.2658942141298623,"(231, 218, 201)",0.2379805883680686,#b59f7c,#7e6a4e,#e7dac9,30
