,accession_number,year,r,g,b,hex,value
0,A00001,,56,50,43,#38322b,1
1,A00034,1794,174,139,115,#ae8b73,1
2,A00041,1800,231,236,241,#e7ecf1,1
3,A00061,1877,125,125,114,#7d7d72,1
4,A00062,1877,126,126,114,#7e7e72,1
5,A00129,,127,118,84,#7f7654,1
6,A00130,,119,109,79,#776d4f,1
7,A00168,,226,218,201,#e2dac9,1
8,A00169,,237,226,206,#ede2ce,1
9,A00170,,177,167,146,#b1a792,1
10,A00171,,68,59,46,#443b2e,1
11,A00172,,161,157,142,#a19d8e,1
12,A00173,,211,208,192,#d3d0c0,1
13,A00174,,52,51,48,#343330,1
14,A00175,,204,201,186,#ccc9ba,1
15,A00176,,150,132,107,#96846b,1
16,A00177,,192,177,152,#c0b198,1
17,A00178,,126,90,60,#7e5a3c,1
18,A00179,,150,112,78,#96704e,1
19,A00180,,149,108,72,#956c48,1
20,A00181,,138,105,76,#8a694c,1
21,A00182,,222,200,172,#dec8ac,1
22,A00183,,213,190,160,#d5bea0,1
23,A00184,,188,163,131,#bca383,1
24,A00185,,153,139,119,#998b77,1
25,A00186,,233,221,197,#e9ddc5,1
26,A00187,,241,227,203,#f1e3cb,1
27,A00188,,237,222,196,#eddec4,1
28,A00189,,219,207,186,#dbcfba,1
29,A00194,,211,193,164,#d3c1a4,1
30,A00195,,184,161,125,#b8a17d,1
31,A00202,,205,177,143,#cdb18f,1
32,A00205,,183,150,115,#b79673,1
33,A00221,,232,228,216,#e8e4d8,1
34,A00223,,227,211,183,#e3d3b7,1
35,A00225,,231,222,204,#e7decc,1
36,A00226,,234,225,210,#eae1d2,1
37,A00228,,234,226,214,#eae2d6,1
38,A00229,,226,214,195,#e2d6c3,1
39,A00244,,232,223,209,#e8dfd1,1
40,A00248,,232,223,207,#e8dfcf,1
41,A00250,,231,220,197,#e7dcc5,1
42,A00254,,233,222,199,#e9dec7,1
43,A00268,,235,231,220,#ebe7dc,1
44,A00269,,236,233,224,#ece9e0,1
45,A00270,,241,239,229,#f1efe5,1
46,A00290,,236,232,223,#ece8df,1
47,A00292,,235,230,215,#ebe6d7,1
48,A00313,,237,228,208,#ede4d0,1
49,A00335,,233,222,203,#e9decb,1
50,A00344,,229,218,201,#e5dac9,1
51,A00351,,224,213,194,#e0d5c2,1
52,A00354,,223,209,187,#dfd1bb,1
53,A00356,,232,220,200,#e8dcc8,1
54,A00360,,235,224,203,#ebe0cb,1
55,A00368,,232,219,198,#e8dbc6,1
56,A00372,,226,214,188,#e2d6bc,1
57,A00373,,237,228,206,#ede4ce,1
58,A00374,,236,227,206,#ece3ce,1
59,A00382,,235,227,208,#ebe3d0,1
60,A00388,,240,238,227,#f0eee3,1
61,A00402,,227,218,195,#e3dac3,1
62,A00409,,237,232,220,#ede8dc,1
63,A00449,,223,216,198,#dfd8c6,1
64,A00450,,223,218,202,#dfdaca,1
65,A00454,,227,219,203,#e3dbcb,1
66,A00456,,225,218,200,#e1dac8,1
67,A00458,,222,220,212,#dedcd4,1
68,A00460,,225,224,215,#e1e0d7,1
69,A00462,,216,214,204,#d8d6cc,1
70,A00465,,235,228,211,#ebe4d3,1
