,Unnamed: 0,accession_number,year,r,g,b,hex,value
6671,6671,T10165,1596,149,127,78,#957f4e,15
5494,5494,T05745,1630,137,120,95,#89785f,15
5487,5487,T05518,1660,224,217,204,#e0d9cc,15
5909,5909,T08580,1680,226,210,187,#e2d2bb,15
5267,5267,T01551,1710,217,207,185,#d9cfb9,15
5640,5640,T08118,1713,192,160,126,#c0a07e,15
5661,5661,T08143,1715,208,189,163,#d0bda3,15
6265,6265,T09284,1719,158,140,114,#9e8c72,15
5931,5931,T08608,1728,199,184,162,#c7b8a2,15
5751,5751,T08274,1728,237,223,204,#eddfcc,30
1017,1017,D04152,1740,118,122,109,#767a6d,15
5736,5736,T08256,1740,125,87,54,#7d5736,30
6100,6100,T08921,1741,224,207,180,#e0cfb4,15
6031,6031,T08820,1745,204,188,163,#ccbca3,15
5455,5455,T04319,1745,215,207,185,#d7cfb9,30
6027,6027,T08815,1746,138,76,47,#8a4c2f,15
5639,5639,T08117,1746,183,171,154,#b7ab9a,30
5647,5647,T08125,1748,159,140,111,#9f8c6f,15
5431,5431,T04268,1750,141,123,96,#8d7b60,15
5430,5430,T04267,1750,168,140,103,#a88c67,30
5416,5416,T04249,1750,169,149,119,#a99577,45
5414,5414,T04247,1750,171,154,123,#ab9a7b,60
5415,5415,T04248,1750,195,178,157,#c3b29d,75
5413,5413,T04246,1750,213,197,177,#d5c5b1,90
5752,5752,T08275,1750,214,199,173,#d6c7ad,105
5852,5852,T08512,1750,228,218,199,#e4dac7,120
5747,5747,T08270,1753,123,117,101,#7b7565,15
5311,5311,T01896,1754,189,192,192,#bdc0c0,15
5814,5814,T08473,1755,113,92,70,#715c46,15
5734,5734,T08254,1757,81,69,51,#514533,15
5685,5685,T08186,1757,185,168,137,#b9a889,30
5248,5248,T01017,1758,118,101,77,#76654d,15
6295,6295,T09337,1758,196,192,171,#c4c0ab,30
5656,5656,T08137,1759,207,196,178,#cfc4b2,15
5818,5818,T08477,1760,205,185,163,#cdb9a3,15
7028,7028,T11645,1761,209,198,180,#d1c6b4,15
5412,5412,T04245,1761,217,201,180,#d9c9b4,30
5432,5432,T04273,1762,189,156,120,#bd9c78,15
5215,5215,T00981,1763,169,150,103,#a99667,15
5214,5214,T00980,1763,174,155,111,#ae9b6f,30
6301,6301,T09343,1764,124,124,110,#7c7c6e,15
5439,5439,T04294,1765,142,110,80,#8e6e50,15
5433,5433,T04284,1765,159,124,84,#9f7c54,30
6297,6297,T09339,1765,164,169,155,#a4a99b,45
5444,5444,T04300,1765,172,152,123,#ac987b,60
6302,6302,T09344,1765,178,171,153,#b2ab99,75
6296,6296,T09338,1765,191,190,177,#bfbeb1,90
6083,6083,T08891,1766,174,153,123,#ae997b,15
5705,5705,T08209,1766,213,201,174,#d5c9ae,30
5641,5641,T08119,1767,222,210,191,#ded2bf,15
6300,6300,T09342,1768,177,175,154,#b1af9a,15
5726,5726,T08240,1770,139,99,58,#8b633a,15
5601,5601,T08057,1770,150,125,97,#967d61,30
5649,5649,T08127,1770,164,147,127,#a4937f,45
6672,6672,T10167,1770,172,156,140,#ac9c8c,60
5753,5753,T08276,1770,184,170,146,#b8aa92,75
6346,6346,T09405,1770,191,169,137,#bfa989,90
5804,5804,T08461,1770,192,177,148,#c0b194,105
5659,5659,T08140,1770,207,194,173,#cfc2ad,120
5365,5365,T03602,1770,213,203,178,#d5cbb2,135
5636,5636,T08114,1770,224,207,185,#e0cfb9,150
5638,5638,T08116,1770,226,216,200,#e2d8c8,165
5222,5222,T00989,1771,75,71,64,#4b4740,15
5754,5754,T08278,1771,120,108,89,#786c59,30
5646,5646,T08124,1771,213,199,174,#d5c7ae,45
4768,4768,N03624,1771,220,200,169,#dcc8a9,60
6784,6784,T10672,1773,70,66,63,#46423f,15
6677,6677,T10175,1773,167,155,137,#a79b89,30
6722,6722,T10433,1773,195,185,167,#c3b9a7,45
6351,6351,T09410,1773,202,187,161,#cabba1,60
6439,6439,T09543,1773,213,205,189,#d5cdbd,75
6425,6425,T09525,1773,214,207,190,#d6cfbe,90
6673,6673,T10169,1773,224,214,200,#e0d6c8,105
6440,6440,T09544,1773,228,221,202,#e4ddca,120
6077,6077,T08880,1774,167,146,113,#a79271,15
5918,5918,T08590,1774,180,160,131,#b4a083,30
6344,6344,T09403,1774,187,175,153,#bbaf99,45
6353,6353,T09412,1774,199,186,164,#c7baa4,60
6675,6675,T10172,1774,202,190,172,#cabeac,75
5366,5366,T03603,1774,203,199,184,#cbc7b8,90
6347,6347,T09406,1774,204,183,145,#ccb791,105
6352,6352,T09411,1774,213,198,172,#d5c6ac,120
6674,6674,T10170,1774,221,205,172,#ddcdac,135
6348,6348,T09407,1774,221,209,187,#ddd1bb,150
6349,6349,T09408,1774,222,209,183,#ded1b7,165
6350,6350,T09409,1774,223,212,189,#dfd4bd,180
6426,6426,T09526,1774,225,217,199,#e1d9c7,195
6424,6424,T09524,1774,225,219,206,#e1dbce,210
6105,6105,T08936,1774,228,214,186,#e4d6ba,225
6678,6678,T10176,1774,228,216,193,#e4d8c1,240
6676,6676,T10174,1774,231,223,208,#e7dfd0,255
6354,6354,T09413,1774,236,228,213,#ece4d5,270
5461,5461,T04853,1775,196,165,127,#c4a57f,15
5460,5460,T04852,1775,200,199,187,#c8c7bb,30
5721,5721,T08231,1776,212,198,174,#d4c6ae,15
5218,5218,T00985,1776,216,200,176,#d8c8b0,30
5660,5660,T08141,1777,68,67,54,#444336,15
4315,4315,D36649,1777,205,188,143,#cdbc8f,30
5826,5826,T08486,1777,221,214,197,#ddd6c5,45
6776,6776,T10659,1777,225,209,174,#e1d1ae,60
5231,5231,T00999,1777,227,222,200,#e3dec8,75
5851,5851,T08511,1778,80,69,54,#504536,15
5838,5838,T08498,1778,88,76,58,#584c3a,30
5833,5833,T08493,1778,89,75,56,#594b38,45
5828,5828,T08488,1778,90,69,51,#5a4533,60
5846,5846,T08506,1778,92,79,59,#5c4f3b,75
5830,5830,T08490,1778,106,83,59,#6a533b,90
5844,5844,T08504,1778,107,89,66,#6b5942,105
5832,5832,T08492,1778,108,92,68,#6c5c44,120
5842,5842,T08502,1778,168,162,143,#a8a28f,135
5688,5688,T08189,1778,169,158,137,#a99e89,150
5849,5849,T08509,1778,174,174,156,#aeae9c,165
5904,5904,T08575,1778,179,162,132,#b3a284,180
5845,5845,T08505,1778,184,178,154,#b8b29a,195
5829,5829,T08489,1778,187,182,162,#bbb6a2,210
5232,5232,T01000,1778,188,174,141,#bcae8d,225
6256,6256,T09271,1778,190,173,144,#bead90,240
5839,5839,T08499,1778,193,201,189,#c1c9bd,255
5841,5841,T08501,1778,194,187,165,#c2bba5,270
5837,5837,T08497,1778,196,196,174,#c4c4ae,285
5847,5847,T08507,1778,196,196,178,#c4c4b2,300
5835,5835,T08495,1778,198,192,166,#c6c0a6,315
5831,5831,T08491,1778,198,195,177,#c6c3b1,330
5840,5840,T08500,1778,200,197,177,#c8c5b1,345
5834,5834,T08494,1778,203,194,167,#cbc2a7,360
5836,5836,T08496,1778,203,205,182,#cbcdb6,375
5843,5843,T08503,1778,204,196,174,#ccc4ae,390
5850,5850,T08510,1778,206,206,190,#cecebe,405
5848,5848,T08508,1778,208,205,190,#d0cdbe,420
5867,5867,T08527,1778,209,188,161,#d1bca1,435
5080,5080,N05792,1778,214,210,178,#d6d2b2,450
4963,4963,N05189,1779,141,119,92,#8d775c,15
4906,4906,N04740,1780,100,93,87,#645d57,15
5258,5258,T01128,1780,115,104,93,#73685d,30
5907,5907,T08578,1780,125,118,96,#7d7660,45
4970,4970,N05198,1780,167,168,154,#a7a89a,60
5897,5897,T08568,1780,191,176,146,#bfb092,75
5855,5855,T08515,1780,193,176,146,#c1b092,90
5899,5899,T08570,1781,83,74,62,#534a3e,15
5683,5683,T08184,1781,84,70,59,#54463b,30
5730,5730,T08250,1781,100,104,83,#646853,45
5687,5687,T08188,1781,108,90,73,#6c5a49,60
5903,5903,T08574,1781,119,106,93,#776a5d,75
5886,5886,T08556,1781,128,126,112,#807e70,90
5883,5883,T08552,1781,130,116,95,#82745f,105
5665,5665,T08147,1781,149,155,139,#959b8b,120
5887,5887,T08557,1781,165,156,136,#a59c88,135
5898,5898,T08569,1781,183,173,149,#b7ad95,150
5892,5892,T08562,1781,192,181,164,#c0b5a4,165
5902,5902,T08573,1781,192,186,170,#c0baaa,180
5686,5686,T08187,1781,194,179,156,#c2b39c,195
5361,5361,T03367,1781,196,198,186,#c4c6ba,210
5890,5890,T08560,1781,197,182,153,#c5b699,225
5888,5888,T08558,1781,213,205,192,#d5cdc0,240
5889,5889,T08559,1781,213,217,209,#d5d9d1,255
5900,5900,T08571,1781,215,206,191,#d7cebf,270
5929,5929,T08606,1782,66,49,35,#423123,15
6075,6075,T08875,1782,108,74,49,#6c4a31,30
4500,4500,N01856,1782,136,124,98,#887c62,45
5245,5245,T01014,1782,180,150,110,#b4966e,60
5928,5928,T08605,1782,185,145,100,#b99164,75
6481,6481,T09694,1782,229,223,208,#e5dfd0,90
4870,4870,N04408,1783,52,46,35,#342e23,15
5082,5082,N05807,1783,61,62,50,#3d3e32,30
5517,5517,T06671,1783,181,165,147,#b5a593,45
6247,6247,T09262,1783,196,190,160,#c4bea0,60
5742,5742,T08265,1783,203,192,170,#cbc0aa,75
5652,5652,T08130,1783,204,196,180,#ccc4b4,90
5740,5740,T08263,1783,210,195,163,#d2c3a3,105
5741,5741,T08264,1783,210,196,164,#d2c4a4,120
5637,5637,T08115,1783,219,213,200,#dbd5c8,135
6294,6294,T09336,1784,199,198,183,#c7c6b7,15
5635,5635,T08113,1785,120,100,72,#786448,15
5815,5815,T08474,1785,136,112,78,#88704e,30
4972,4972,N05200,1785,190,183,163,#beb7a3,45
4962,4962,N05183,1785,202,198,195,#cac6c3,60
5662,5662,T08144,1785,221,208,187,#ddd0bb,75
5739,5739,T08262,1786,104,93,76,#685d4c,15
4598,4598,N02686,1786,114,116,85,#727455,30
4134,4134,D36408,1786,156,139,111,#9c8b6f,45
4133,4133,D36407,1786,159,142,115,#9f8e73,60
4131,4131,D36385,1786,171,158,132,#ab9e84,75
4137,4137,D36413,1786,181,167,142,#b5a78e,90
4135,4135,D36411,1786,186,176,154,#bab09a,105
4127,4127,D36356,1786,190,176,150,#beb096,120
4129,4129,D36359,1786,194,180,154,#c2b49a,135
4136,4136,D36412,1786,194,183,162,#c2b7a2,150
4132,4132,D36401,1786,195,182,157,#c3b69d,165
4130,4130,D36360,1786,196,184,160,#c4b8a0,180
5743,5743,T08266,1786,199,188,165,#c7bca5,195
5250,5250,T01019,1786,203,179,139,#cbb38b,210
4128,4128,D36358,1786,205,190,162,#cdbea2,225
5694,5694,T08195,1786,215,214,199,#d7d6c7,240
4832,4832,N04298,1786,222,211,194,#ded3c2,255
6079,6079,T08883,1787,168,139,103,#a88b67,15
574,574,D00003,1787,185,183,158,#b9b79e,30
4831,4831,N04297,1787,186,171,146,#baab92,45
573,573,D00002,1787,189,188,167,#bdbca7,60
7029,7029,T11683,1787,191,180,161,#bfb4a1,75
4830,4830,N04296,1787,210,202,179,#d2cab3,90
6190,6190,T09147,1787,215,209,190,#d7d1be,105
587,587,D00047,1787,223,220,203,#dfdccb,120
5746,5746,T08269,1787,228,221,194,#e4ddc2,135
572,572,D00001,1787,229,226,209,#e5e2d1,150
5812,5812,T08469,1788,181,165,143,#b5a58f,15
6377,6377,T09461,1788,208,184,138,#d0b88a,30
6718,6718,T10359,1788,230,217,196,#e6d9c4,45
580,580,D00018,1789,36,36,33,#242421,15
6779,6779,T10664,1789,139,123,104,#8b7b68,30
585,585,D00042,1789,140,127,104,#8c7f68,45
6780,6780,T10665,1789,163,147,127,#a3937f,60
6778,6778,T10663,1789,164,149,130,#a49582,75
589,589,D00049,1789,170,161,129,#aaa181,90
588,588,D00048,1789,179,170,137,#b3aa89,105
5799,5799,T08447,1789,189,172,142,#bdac8e,120
5801,5801,T08449,1789,193,178,154,#c1b29a,135
5800,5800,T08448,1789,205,190,164,#cdbea4,150
586,586,D00046,1789,206,200,176,#cec8b0,165
5802,5802,T08454,1789,217,203,175,#d9cbaf,180
578,578,D00014,1789,222,213,189,#ded5bd,195
5803,5803,T08455,1789,223,208,183,#dfd0b7,210
583,583,D00031,1789,232,224,205,#e8e0cd,225
581,581,D00019,1789,232,226,207,#e8e2cf,240
4443,4443,D40738,1789,239,231,211,#efe7d3,255
5723,5723,T08234,1789,239,232,220,#efe8dc,270
4445,4445,D40740,1789,240,234,215,#f0ead7,285
582,582,D00026,1789,241,235,216,#f1ebd8,300
584,584,D00039,1789,241,236,219,#f1ecdb,315
4444,4444,D40739,1789,245,237,218,#f5edda,330
577,577,D00013,1789,245,238,219,#f5eedb,345
579,579,D00017,1789,245,238,221,#f5eedd,360
576,576,D00012,1789,246,239,221,#f6efdd,375
634,634,D00187,1790,54,41,32,#362920,15
5651,5651,T08129,1790,142,134,124,#8e867c,30
4966,4966,N05192,1790,146,134,116,#928674,45
4524,4524,N02233,1790,149,148,125,#95947d,60
763,763,D00896,1790,156,139,105,#9c8b69,75
5217,5217,T00984,1790,156,144,117,#9c9075,90
618,618,D00115,1790,187,175,142,#bbaf8e,105
6081,6081,T08886,1790,192,176,146,#c0b092,120
6621,6621,T10067,1790,201,194,174,#c9c2ae,135
5262,5262,T01231,1790,205,196,179,#cdc4b3,150
5555,5555,T07879,1790,212,208,189,#d4d0bd,165
601,601,D00083,1791,39,39,39,#272727,15
607,607,D00102,1791,40,39,39,#282727,30
604,604,D00088,1791,40,40,39,#282827,45
596,596,D00074,1791,41,41,40,#292928,60
597,597,D00079,1791,42,43,42,#2a2b2a,75
4441,4441,D40735,1791,44,44,42,#2c2c2a,90
598,598,D00080,1791,44,44,44,#2c2c2c,105
606,606,D00097,1791,45,44,39,#2d2c27,120
603,603,D00087,1791,46,45,42,#2e2d2a,135
605,605,D00096,1791,68,67,53,#444335,150
614,614,D00111,1791,79,74,55,#4f4a37,165
610,610,D00107,1791,90,89,77,#5a594d,180
615,615,D00112,1791,92,81,59,#5c513b,195
613,613,D00110,1791,99,84,64,#635440,210
617,617,D00114,1791,109,114,94,#6d725e,225
591,591,D00055,1791,129,113,92,#81715c,240
612,612,D00109,1791,143,139,113,#8f8b71,255
611,611,D00108,1791,154,149,129,#9a9581,270
602,602,D00086,1791,156,148,126,#9c947e,285
595,595,D00069,1791,158,140,119,#9e8c77,300
575,575,D00005,1791,176,159,123,#b09f7b,315
633,633,D00186,1791,184,179,148,#b8b394,330
608,608,D00105,1791,189,179,151,#bdb397,345
616,616,D00113,1791,195,183,152,#c3b798,360
4460,4460,D41454,1791,203,190,163,#cbbea3,375
599,599,D00081,1791,204,195,178,#ccc3b2,390
4385,4385,D40229,1791,204,197,170,#ccc5aa,405
631,631,D00184,1791,206,197,169,#cec5a9,420
4395,4395,D40266,1791,207,194,163,#cfc2a3,435
6725,6725,T10440,1791,207,198,180,#cfc6b4,450
4332,4332,D40030,1791,214,196,163,#d6c4a3,465
609,609,D00106,1791,225,209,178,#e1d1b2,480
4384,4384,D40228,1791,225,214,184,#e1d6b8,495
4442,4442,D40736,1791,229,213,188,#e5d5bc,510
600,600,D00082,1791,229,221,203,#e5ddcb,525
4440,4440,D40734,1791,246,238,222,#f6eede,540
5901,5901,T08572,1792,76,62,47,#4c3e2f,15
590,590,D00054,1792,115,100,82,#736452,30
5190,5190,T00547,1792,122,108,89,#7a6c59,45
620,620,D00122,1792,127,102,82,#7f6652,60
592,592,D00057,1792,147,128,103,#938067,75
