id;accession_number;artist;artistRole;artistId;title;dateText;medium;creditLine;year;acquisitionYear;dimensions;width;height;depth;units;inscription;thumbnailCopyright;thumbnailUrl;url
16374;T04928;Winters, Terry;artist;2155;Untitled;1986;Graphite, chalk and watercolour on paper;Purchased 1987;1986;1987;support: 1213 x 804 mm;1213;804;;mm;date inscribed;;;http://www.tate.org.uk/art/artworks/winters-untitled-t04928
96941;T13004;Blake, William;artist;39;First Book of Urizen pl. 11;1796, c.1818;Etching with paint, watercolour and ink on paper;Purchased with funds provided by the Art Fund, Tate Members, Tate Patrons, Tate Fund and individual donors 2009;1796;2010;support: 257 x 184 mm;257;184;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/53fedbacaa169b89843489a9d8dc5ea4;http://www.tate.org.uk/art/artworks/blake-first-book-of-urizen-pl-11-t13004
64267;D40517;Turner, Joseph Mallord William;artist;558;?Mountain Pass;?1843;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1843;1856;support: 228 x 327 mm;228;327;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9571d33312fcc8a55562014d39a56b8b;http://www.tate.org.uk/art/artworks/turner-mountain-pass-d40517
44463;D17107;Turner, Joseph Mallord William;artist;558;Lecture Diagram: Anamorphic Perspective;c.1817–28;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1817;1856;support: 488 x 693 mm;488;693;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/e8113dbfbd5d39bd76f91645a51bce6b;http://www.tate.org.uk/art/artworks/turner-lecture-diagram-anamorphic-perspective-d17107
62265;D35136;Turner, Joseph Mallord William;artist;558;Baden;1844;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1844;1856;support: 229 x 329 mm;229;329;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/623769a3b0354aabc737a0eb2a00a6cf;http://www.tate.org.uk/art/artworks/turner-baden-d35136
62134;D34989;Turner, Joseph Mallord William;artist;558;Clearing Up a Little;1844;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1844;1856;support: 228 x 325 mm;228;325;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/b74c97d95c44989044c78b61d513424a;http://www.tate.org.uk/art/artworks/turner-clearing-up-a-little-d34989
6760;N04403;Houghton, Arthur Boyd;artist;278;Head of a Woman and Child;date not known;Watercolour on paper;Presented by Miss Frances Burlison through the Art Fund 1928;;1928;support: 79 x 95 mm;79;95;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f2bd7fc7822530d54a5f90455012beb8;http://www.tate.org.uk/art/artworks/houghton-head-of-a-woman-and-child-n04403
60708;D33537;Turner, Joseph Mallord William;artist;558;Distant view of Treport;c.1841;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1841;1856;support: 232 x 331 mm;232;331;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c51ac5d69ce0ddc42bd0bdc026e678fe;http://www.tate.org.uk/art/artworks/turner-distant-view-of-treport-d33537
52772;D25435;Turner, Joseph Mallord William;artist;558;Sunshine on the Sea: Stormy Evening;c.1820–30;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1820;1856;support: 191 x 276 mm;191;276;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/595448996431201a8b31a68f28199c3a;http://www.tate.org.uk/art/artworks/turner-sunshine-on-the-sea-stormy-evening-d25435
43711;D16355;Turner, Joseph Mallord William;artist;558;The Arch of Constantine and the Colosseum, Rome;1819;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1819;1856;support: 233 x 368 mm;233;368;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/88f2005a15e88ad7eac57a3938c44378;http://www.tate.org.uk/art/artworks/turner-the-arch-of-constantine-and-the-colosseum-rome-d16355
23073;T09028;Inchbold, John William;artist;293;Tintagel;1861;Graphite and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;1861;1997;support: 176 x 253 mm;176;253;;mm;date inscribed;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/71e10df1e75925d4f00f6145521cc8e4;http://www.tate.org.uk/art/artworks/inchbold-tintagel-t09028
