,id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
0,1035,A00001,"Blake, Robert",artist,38,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,date not known,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",Presented by Mrs John Richmond 1922,,1922.0,support: 394 x 419 mm,394,419,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00001_8.jpg,http://www.tate.org.uk/art/artworks/blake-a-figure-bowing-before-a-seated-old-man-with-his-arm-outstretched-in-benediction-a00001
33,1068,A00034,"Blake, William",artist,39,‘Europe’: Fragment of Pages 3 and 4,1794–c.1830–5,Relief etching and watercolour on paper,Presented by Mrs John Richmond 1922,1794,1922.0,support: 92 x 166 mm,92,166,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00034_8.jpg,http://www.tate.org.uk/art/artworks/blake-europe-fragment-of-pages-3-and-4-a00034
40,1075,A00041,"Blake, William",artist,39,Landscape near Felpham,c.1800,Graphite and watercolour on paper,Presented by Mrs John Richmond 1922,1800,1922.0,support: 237 x 343 mm,237,343,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00041_8.jpg,http://www.tate.org.uk/art/artworks/blake-landscape-near-felpham-a00041
50,1505,A00051,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896.0,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00051
51,1506,A00052,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896.0,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00052
52,1507,A00053,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896.0,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00053
53,1508,A00054,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896.0,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00054
54,1509,A00055,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896.0,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00055
55,1510,A00056,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896.0,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00056
60,1699,A00061,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Standing Woman for ‘The Passing of Venus’,1877,Graphite and watercolour on paper,Bequeathed by A.N. MacNicholl 1916,1877,1916.0,support: 269 x 179 mm,269,179,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00061_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-standing-woman-for-the-passing-of-venus-a00061
61,1700,A00062,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Seated Woman for ‘The Passing of Venus’,c.1877,Graphite and watercolour on paper,Bequeathed by A.N. MacNicholl 1916,1877,1916.0,support: 261 x 225 mm,261,225,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00062_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-seated-woman-for-the-passing-of-venus-a00062
128,1763,A00129,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Design for a Window: Ethelbert,date not known,Graphite and watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 343 x 216 mm,343,216,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00129_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-design-for-a-window-ethelbert-a00129
129,1764,A00130,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Design for a Window: St James the Greater,date not known,Graphite and watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 311 x 235 mm,311,235,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00130_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-design-for-a-window-st-james-the-greater-a00130
167,2838,A00168,"Cox, David",artist,117,Windmill. Verso: Foliage (?),date not known,Watercolour on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 102 x 178 mm,102,178,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00168_8.jpg,http://www.tate.org.uk/art/artworks/cox-windmill-verso-foliage-a00168
168,2858,A00169,"Cox, David",artist,117,Horse and Barge. Verso: tracing of horse from recto,date not known,Watercolour on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 102 x 140 mm,102,140,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00169_8.jpg,http://www.tate.org.uk/art/artworks/cox-horse-and-barge-verso-tracing-of-horse-from-recto-a00169
169,2839,A00170,"Cox, David",artist,117,Horse’s Head,date not known,Watercolour and graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 149 x 83 mm,149,83,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00170_8.jpg,http://www.tate.org.uk/art/artworks/cox-horses-head-a00170
170,2840,A00171,"Cox, David",artist,117,Head and Shoulders of a Horse,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 152 x 73 mm,152,73,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00171_8.jpg,http://www.tate.org.uk/art/artworks/cox-head-and-shoulders-of-a-horse-a00171
171,2841,A00172,"Cox, David",artist,117,Two Naval Pensioners with Shipping Behind,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 124 x 79 mm,124,79,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00172_8.jpg,http://www.tate.org.uk/art/artworks/cox-two-naval-pensioners-with-shipping-behind-a00172
172,2842,A00173,"Cox, David",artist,117,Seated Naval Pensioner. Verso: indecipherable sketch,date not known,Watercolour on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 83 x 67 mm,83,67,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00173_8.jpg,http://www.tate.org.uk/art/artworks/cox-seated-naval-pensioner-verso-indecipherable-sketch-a00173
173,2843,A00174,"Cox, David",artist,117,Two Naval Pensioners. Verso: traces of pencil drawing,date not known,Watercolour on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 83 x 79 mm,83,79,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00174_8.jpg,http://www.tate.org.uk/art/artworks/cox-two-naval-pensioners-verso-traces-of-pencil-drawing-a00174
174,2844,A00175,"Cox, David",artist,117,Naval Pensioner,date not known,Watercolour and graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 86 x 48 mm,86,48,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00175_8.jpg,http://www.tate.org.uk/art/artworks/cox-naval-pensioner-a00175
175,2845,A00176,"Cox, David",artist,117,Bridge and Castle,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 76 x 114 mm,76,114,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00176_8.jpg,http://www.tate.org.uk/art/artworks/cox-bridge-and-castle-a00176
176,2846,A00177,"Cox, David",artist,117,Caernarvon Castle,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 86 x 222 mm,86,222,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00177_8.jpg,http://www.tate.org.uk/art/artworks/cox-caernarvon-castle-a00177
177,2847,A00178,"Cox, David",artist,117,Landscape,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 105 x 143 mm,105,143,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00178_8.jpg,http://www.tate.org.uk/art/artworks/cox-landscape-a00178
178,2848,A00179,"Cox, David",artist,117,Landscape with Flock of Sheep,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 108 x 162 mm,108,162,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00179_8.jpg,http://www.tate.org.uk/art/artworks/cox-landscape-with-flock-of-sheep-a00179
179,2849,A00180,"Cox, David",artist,117,Open Landscape,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 137 x 184 mm,137,184,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00180_8.jpg,http://www.tate.org.uk/art/artworks/cox-open-landscape-a00180
180,2850,A00181,"Cox, David",artist,117,A Bridge,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 102 x 152 mm,102,152,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00181_8.jpg,http://www.tate.org.uk/art/artworks/cox-a-bridge-a00181
181,2851,A00182,"Cox, David",artist,117,Landscape with Windmill and Man Ploughing,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 105 x 165 mm,105,165,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00182_8.jpg,http://www.tate.org.uk/art/artworks/cox-landscape-with-windmill-and-man-ploughing-a00182
182,2852,A00183,"Cox, David",artist,117,Landscape with Windmill,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 108 x 156 mm,108,156,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00183_8.jpg,http://www.tate.org.uk/art/artworks/cox-landscape-with-windmill-a00183
183,2853,A00184,"Cox, David",artist,117,Landscape,date not known,Watercolour and graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 63 x 92 mm,63,92,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00184_8.jpg,http://www.tate.org.uk/art/artworks/cox-landscape-a00184
184,2854,A00185,"Cox, David",artist,117,Sketch for ‘Crossing Lancaster Sands’,date not known,Ink and watercolour on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 63 x 95 mm,63,95,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00185_8.jpg,http://www.tate.org.uk/art/artworks/cox-sketch-for-crossing-lancaster-sands-a00185
185,2855,A00186,"Cox, David",artist,117,Costume Study: Peasant Woman,date not known,Watercolour and graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 133 x 54 mm,133,54,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00186_8.jpg,http://www.tate.org.uk/art/artworks/cox-costume-study-peasant-woman-a00186
186,2856,A00187,"Cox, David",artist,117,Costume Study: Woman with Umbrella. Verso: erased figure study,date not known,Watercolour on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 194 x 137 mm,194,137,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00187_8.jpg,http://www.tate.org.uk/art/artworks/cox-costume-study-woman-with-umbrella-verso-erased-figure-study-a00187
187,2857,A00188,"Cox, David",artist,117,Studies of Farm Hands and a Coat on a Fence. Verso: tracing of farm boy from recto,date not known,Watercolour on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 98 x 190 mm,98,190,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00188_8.jpg,http://www.tate.org.uk/art/artworks/cox-studies-of-farm-hands-and-a-coat-on-a-fence-verso-tracing-of-farm-boy-from-recto-a00188
